order_id,user_id,order_date,order_status,total_amount
O00000171,U001678,03/02/2024 11:25,returned,38400
O00000172,U009680,30/01/2025 16:25,cancelled,59380
O00000173,U003834,30/11/2024 19:38,returned,24900
O00000174,U007238,04/07/2025 11:36,cancelled,51920
O00000175,U002754,12/03/2024 12:29,processing,58340
O00000176,U009063,23/01/2024 00:47,completed,48550
O00000177,U002797,18/01/2024 21:25,completed,2400
O00000178,U006485,14/02/2025 21:03,returned,51480
O00000179,U000987,06/06/2025 18:53,shipped,33100
O00000180,U008002,28/07/2024 09:42,returned,95550
O00000181,U006833,19/06/2024 01:56,completed,22250
O00000182,U009225,11/02/2024 07:01,processing,37529
O00000183,U006690,18/09/2024 06:38,cancelled,38400
O00000184,U001541,19/02/2024 16:26,shipped,2000
O00000185,U004717,22/02/2025 14:49,cancelled,78330
O00000186,U004708,14/09/2025 07:45,completed,17520
O00000187,U005772,02/11/2024 16:50,processing,40464
O00000188,U005931,31/10/2024 21:12,returned,46680
O00000189,U001604,14/01/2025 13:17,processing,48550
O00000190,U007885,28/04/2024 11:06,completed,27100
O00000191,U003178,07/03/2024 15:48,cancelled,101550
O00000192,U009179,15/07/2024 20:29,shipped,37150
O00000193,U006708,25/11/2024 02:18,processing,52140
O00000194,U006411,02/08/2025 13:02,returned,113700
O00000195,U001418,11/06/2024 01:39,shipped,37590
O00000196,U008992,27/04/2025 10:05,returned,30330
O00000197,U002348,26/09/2024 19:01,shipped,132650
O00000198,U005404,07/07/2025 17:14,cancelled,17095
O00000199,U004163,01/03/2024 05:40,processing,98260
O00000200,U007622,09/04/2025 04:47,returned,10850
O00000201,U003830,05/02/2025 07:56,cancelled,60000
O00000202,U003415,12/10/2024 22:49,cancelled,11970
O00000203,U007282,05/10/2024 14:45,processing,19450
O00000204,U004810,11/05/2025 07:07,completed,63450
O00000205,U006253,21/10/2024 09:55,shipped,46630
O00000206,U008405,21/11/2024 01:44,processing,60770
O00000207,U006406,13/03/2024 00:52,shipped,80760
O00000208,U008591,01/09/2024 08:23,shipped,4500
O00000209,U001530,28/08/2025 23:34,completed,29400
O00000210,U009826,18/11/2024 06:29,processing,62650
O00000211,U006935,24/10/2025 15:19,processing,76700
O00000212,U001613,23/10/2025 01:27,returned,35770
O00000213,U008807,10/11/2024 05:29,returned,44350
O00000214,U006699,19/01/2025 10:28,completed,27720
O00000215,U008741,07/04/2024 01:54,shipped,59710
O00000216,U008467,23/03/2024 19:57,processing,51000
O00000217,U000008,30/12/2024 20:16,returned,34500
O00000218,U000516,01/07/2025 09:45,cancelled,54150
O00000219,U005698,15/10/2025 16:31,processing,40900
O00000220,U008072,28/11/2024 01:25,returned,240893
O00000221,U003022,09/01/2025 20:02,returned,52050
O00000222,U008552,11/08/2024 14:58,completed,2200
O00000223,U008192,03/08/2024 01:38,completed,23920
O00000224,U006811,09/11/2025 03:05,completed,97870
O00000225,U007753,28/02/2024 05:02,completed,10800
O00000226,U007095,07/04/2025 09:43,returned,25080
O00000227,U002657,02/02/2024 17:11,cancelled,3150
O00000228,U004618,25/04/2024 09:38,shipped,14000
O00000229,U006051,28/09/2025 17:05,processing,9300
O00000230,U003349,17/06/2024 05:45,shipped,16230
O00000231,U006547,27/04/2025 07:05,returned,57828
O00000232,U003029,18/11/2024 22:51,processing,17200
O00000233,U009613,14/09/2025 01:57,cancelled,36800
O00000234,U008714,22/12/2024 03:21,returned,86510
O00000235,U008662,29/12/2024 00:52,returned,9900
O00000236,U000687,19/03/2024 13:36,processing,12000
O00000237,U001094,14/12/2024 18:24,cancelled,8100
O00000238,U009131,01/03/2024 00:28,completed,36890
O00000239,U007463,10/10/2025 06:34,completed,10320
O00000240,U005718,31/05/2024 13:33,completed,112260
O00000241,U000462,01/09/2025 01:33,processing,96460
O00000242,U002722,20/04/2024 09:31,completed,11400
O00000243,U004073,26/05/2024 06:32,processing,2600
O00000244,U009876,26/02/2025 16:05,processing,13930
O00000245,U003047,14/11/2025 03:22,processing,7200
O00000246,U004293,18/05/2024 17:11,shipped,8000
O00000247,U002631,09/03/2024 18:55,processing,105710
O00000248,U007067,01/12/2024 17:11,processing,8100
O00000249,U002832,21/06/2025 14:34,completed,45980
O00000250,U004102,11/07/2025 05:17,cancelled,10800
O00000251,U008264,02/11/2025 06:27,cancelled,91730
O00000252,U003348,25/08/2024 04:23,processing,20000
O00000253,U007023,15/10/2024 08:56,cancelled,17000
O00000254,U003587,17/09/2024 06:59,returned,26160
O00000255,U003862,22/05/2024 12:28,shipped,69620
O00000256,U006956,24/06/2024 09:55,returned,27710
O00000257,U002795,28/04/2025 04:17,cancelled,31050
O00000258,U007831,25/01/2025 22:52,processing,49200
O00000259,U004075,26/09/2025 08:09,returned,11100
O00000260,U003912,20/06/2024 01:10,processing,33840
O00000261,U004977,25/04/2025 16:35,completed,15300
O00000262,U009315,20/05/2024 10:32,completed,94585
O00000263,U009534,12/10/2024 17:40,completed,25340
O00000264,U002837,06/11/2024 06:18,returned,89460
O00000265,U007023,25/04/2024 16:31,shipped,85750
O00000266,U008502,10/03/2024 16:51,completed,51815
O00000267,U005153,18/05/2024 05:17,cancelled,54170
O00000268,U005394,08/08/2025 19:26,returned,57660
O00000269,U007667,27/09/2024 08:51,shipped,83700
O00000270,U003564,12/02/2024 06:57,returned,17360
O00000271,U003973,02/06/2024 05:34,shipped,37950
O00000272,U005269,04/05/2024 17:33,completed,34540
O00000273,U007453,04/03/2025 11:21,completed,37500
O00000274,U003564,26/05/2024 21:25,shipped,3000
O00000275,U006699,15/02/2025 08:45,returned,11900
O00000276,U002287,03/12/2024 18:58,cancelled,49880
O00000277,U005096,27/04/2024 23:42,shipped,17940
O00000278,U001355,08/02/2025 11:16,cancelled,117920
O00000279,U007727,01/01/2024 11:30,returned,299124
O00000280,U003514,28/09/2025 04:56,returned,48360
O00000281,U000988,19/06/2024 14:32,returned,48279
O00000282,U000510,30/03/2025 09:02,returned,4950
O00000283,U005554,14/10/2025 20:06,shipped,66000
O00000284,U004677,31/08/2025 05:39,cancelled,5800
O00000285,U000610,23/01/2025 03:08,completed,16150
O00000286,U008461,09/01/2025 21:37,cancelled,18000
O00000287,U007587,11/06/2024 22:58,completed,47760
O00000288,U003951,14/05/2024 05:08,cancelled,64150
O00000289,U009034,15/02/2024 06:42,returned,136320
O00000290,U002368,24/02/2024 05:23,returned,46000
O00000291,U007858,03/02/2024 20:54,shipped,53160
O00000292,U007310,18/02/2025 10:35,processing,108190
O00000293,U001684,17/10/2024 10:10,cancelled,21100
O00000294,U003889,16/04/2024 08:03,cancelled,17490
O00000295,U007518,01/09/2025 13:59,cancelled,70680
O00000296,U002847,04/04/2025 21:00,processing,20000
O00000297,U006600,27/05/2025 19:00,returned,93340
O00000298,U009474,28/02/2024 07:20,completed,74172
O00000299,U007773,01/02/2025 00:23,shipped,633
O00000300,U001813,15/04/2025 23:27,completed,89250
O00000301,U002528,31/08/2025 22:26,shipped,21850
O00000302,U003744,08/10/2025 21:51,cancelled,79200
O00000303,U008037,13/01/2025 20:19,returned,63240
O00000304,U002381,14/03/2024 23:07,cancelled,79400
O00000305,U001432,05/10/2025 08:48,returned,7440
O00000306,U002575,24/06/2025 10:05,shipped,185830
O00000307,U000083,02/06/2025 21:36,shipped,42390
O00000308,U006604,03/10/2024 05:35,completed,13500
O00000309,U005284,29/11/2024 09:22,processing,95790
O00000310,U003419,24/07/2024 16:29,returned,51090
O00000311,U003527,10/03/2025 20:59,returned,111360
O00000312,U003472,16/03/2024 18:58,shipped,50950
O00000313,U001204,04/07/2024 06:55,completed,128184
O00000314,U005797,19/02/2025 10:11,completed,3750
O00000315,U001315,22/08/2024 05:28,shipped,227466
O00000316,U000494,02/03/2025 13:48,completed,41270
O00000317,U003924,05/08/2025 18:32,cancelled,72540
O00000318,U008822,09/11/2024 14:10,processing,9900
O00000319,U000068,08/08/2025 18:30,processing,35940
O00000320,U001309,31/05/2024 06:17,completed,21000
O00000321,U006255,22/05/2024 03:29,completed,9750
O00000322,U002806,31/10/2024 16:29,shipped,11940
O00000323,U006255,09/04/2025 18:25,processing,19940
O00000324,U007727,10/01/2025 20:02,returned,91560
O00000325,U009808,29/05/2024 15:33,completed,1140
O00000326,U006017,22/04/2024 21:05,shipped,8740
O00000327,U006341,04/10/2024 15:23,cancelled,15438
O00000328,U007930,12/01/2025 00:01,returned,41250
O00000329,U008429,01/10/2024 23:38,cancelled,22500
O00000330,U005772,24/03/2024 02:49,completed,65310
O00000331,U006201,28/01/2025 15:37,returned,16230
O00000332,U006577,09/09/2025 14:35,completed,65105
O00000333,U001355,11/07/2024 03:42,cancelled,3600
O00000334,U001482,21/03/2024 11:32,completed,16500
O00000335,U007872,13/02/2024 17:41,cancelled,31250
O00000336,U002963,23/09/2024 02:45,cancelled,34180
O00000337,U003950,21/06/2025 12:12,returned,6168
O00000338,U007476,07/01/2024 13:51,completed,25750
O00000339,U009267,05/08/2025 08:37,shipped,15250
O00000340,U004737,02/01/2025 15:57,returned,81180
O00000341,U009830,02/05/2024 20:46,shipped,16100
O00000342,U009497,30/04/2025 02:11,completed,7450
O00000343,U004252,25/04/2024 05:13,shipped,30000
O00000344,U005422,28/09/2024 02:43,processing,37060
O00000345,U003170,15/10/2024 22:45,completed,20610
O00000346,U004683,04/09/2025 19:22,processing,8070
O00000347,U007253,19/11/2024 03:10,returned,54020
O00000348,U004629,14/08/2024 17:18,shipped,135190
O00000349,U008969,07/08/2024 15:07,returned,82270
O00000350,U002862,11/12/2024 05:26,completed,65200
O00000351,U009272,21/06/2025 02:18,processing,79830
O00000352,U003130,05/02/2025 03:54,returned,111480
O00000353,U007561,09/10/2024 02:34,returned,56350
O00000354,U006192,02/01/2024 21:00,completed,16740
O00000355,U008572,20/06/2025 06:12,cancelled,12760
O00000356,U000445,19/05/2025 22:37,cancelled,20300
O00000357,U009579,20/05/2024 13:20,cancelled,24400
O00000358,U005569,24/10/2024 09:03,shipped,7500
O00000359,U004576,04/10/2025 06:49,shipped,25340
O00000360,U007438,21/06/2024 08:25,returned,71600
O00000361,U007884,28/05/2024 21:31,completed,68500
O00000362,U004400,06/06/2025 17:42,cancelled,66210
O00000363,U000296,27/10/2025 21:44,processing,18900
O00000364,U002058,14/05/2025 20:52,returned,16200
O00000365,U007974,24/04/2024 03:17,processing,55350
O00000366,U007551,11/05/2024 22:24,completed,19900
O00000367,U008536,08/02/2025 21:08,returned,6300
O00000368,U006186,18/02/2025 19:25,shipped,22300
O00000369,U003898,28/09/2025 10:36,returned,8800
O00000370,U003571,04/03/2024 18:29,processing,114510
O00000371,U009900,28/07/2025 08:15,completed,104840
O00000372,U006358,09/09/2024 14:23,shipped,25120
O00000373,U003243,30/08/2025 21:20,processing,28100
O00000374,U004922,06/11/2025 18:01,completed,103230
O00000375,U005524,11/08/2025 01:52,returned,37920
O00000376,U006830,02/12/2024 10:22,shipped,165960
O00000377,U003570,26/02/2024 08:30,processing,39000
O00000378,U001322,13/10/2025 16:36,cancelled,58080
O00000379,U000566,11/04/2024 03:46,processing,61120
O00000380,U006382,09/10/2024 03:37,completed,91570
O00000381,U000206,15/09/2024 00:36,returned,44720
O00000382,U007177,24/02/2025 08:06,cancelled,5600
O00000383,U004297,25/09/2024 04:00,returned,35630
O00000384,U007191,11/07/2024 18:27,processing,29400
O00000385,U003716,17/09/2024 18:14,cancelled,24220
O00000386,U001294,02/05/2024 23:16,cancelled,5700
O00000387,U005535,11/07/2025 10:57,completed,139470
O00000388,U002024,21/08/2024 01:00,processing,76000
O00000389,U006374,14/10/2024 03:14,completed,21580
O00000390,U006881,17/07/2025 13:46,completed,10000
O00000391,U006033,17/03/2024 07:16,returned,133440
O00000392,U008683,19/02/2025 05:54,cancelled,56060
O00000393,U009235,09/12/2024 09:01,processing,56910
O00000394,U007144,04/10/2025 11:14,processing,8750
O00000395,U009243,25/01/2024 01:02,processing,71620
O00000396,U008571,14/07/2025 22:16,returned,20180
O00000397,U001195,02/12/2024 21:29,processing,5340
O00000398,U003287,14/06/2025 17:33,completed,47400
O00000399,U008513,24/09/2025 13:47,returned,16800
O00000400,U002183,20/05/2025 06:21,completed,9960
O00000401,U005516,09/02/2024 08:28,returned,33460
O00000402,U006071,08/06/2024 01:00,completed,37680
O00000403,U000965,25/03/2025 15:36,completed,36600
O00000404,U001743,22/05/2024 05:42,cancelled,62560
O00000405,U008444,03/10/2025 23:01,processing,12240
O00000406,U005631,22/02/2024 16:49,returned,24230
O00000407,U006627,18/01/2024 06:35,shipped,33000
O00000408,U003348,18/09/2024 23:13,processing,108016
O00000409,U004553,23/04/2025 12:43,processing,102630
O00000410,U002684,15/05/2024 21:23,cancelled,97820
O00000411,U004928,10/10/2025 17:53,processing,83498
O00000412,U007274,26/11/2024 23:01,completed,96100
O00000413,U002090,25/03/2025 14:50,returned,7770
O00000414,U000267,23/10/2025 13:44,cancelled,24400
O00000415,U006705,30/12/2024 13:41,shipped,41930
O00000416,U005686,08/04/2024 10:07,returned,130550
O00000417,U004032,04/06/2025 13:20,cancelled,158610
O00000418,U003487,06/09/2025 02:25,completed,30000
O00000419,U003451,10/08/2025 17:03,completed,20930
O00000420,U009528,02/05/2024 22:30,cancelled,16000
O00000421,U004228,09/06/2025 11:25,completed,25350
O00000422,U005524,22/01/2025 01:53,completed,6200
O00000423,U001646,23/10/2025 23:42,shipped,77630
O00000424,U003529,21/08/2025 09:06,returned,49470
O00000425,U005354,23/10/2025 21:33,completed,92080
O00000426,U000496,01/04/2025 14:06,cancelled,12870
O00000427,U007675,31/12/2024 12:41,completed,15400
O00000428,U007743,02/07/2024 21:28,processing,110620
O00000429,U002332,05/02/2024 04:35,processing,4760
O00000430,U009863,04/01/2024 03:13,returned,61120
O00000431,U009751,01/04/2024 18:50,returned,36750
O00000432,U006937,03/09/2024 09:44,shipped,219180
O00000433,U002515,22/01/2024 12:25,processing,16260
O00000434,U008366,01/07/2024 15:06,processing,77940
O00000435,U004544,11/05/2024 10:10,processing,29260
O00000436,U006954,14/07/2024 09:07,processing,96480
O00000437,U005848,04/07/2024 17:10,shipped,48300
O00000438,U005632,15/07/2025 03:15,shipped,2800
O00000439,U004476,19/03/2025 18:33,returned,26250
O00000440,U005805,10/12/2024 17:26,processing,19650
O00000441,U007493,13/05/2025 00:51,returned,216810
O00000442,U009323,28/09/2025 01:45,processing,55580
O00000443,U003237,28/03/2024 17:17,completed,6650
O00000444,U005171,05/10/2025 05:51,processing,9600
O00000445,U001212,28/09/2024 21:19,cancelled,23240
O00000446,U001117,27/05/2024 06:17,shipped,144045
O00000447,U007100,29/04/2025 04:29,cancelled,83830
O00000448,U006539,30/10/2025 01:41,processing,129710
O00000449,U007270,11/11/2024 09:03,completed,34000
O00000450,U000088,06/06/2025 04:18,cancelled,16450
O00000451,U006290,16/09/2025 08:39,shipped,172650
O00000452,U001153,03/01/2025 12:59,shipped,30000
O00000453,U005828,15/01/2024 07:23,returned,1500
O00000454,U003805,02/08/2025 00:20,processing,107510
O00000455,U001468,24/04/2024 21:26,completed,2250
O00000456,U006551,14/11/2025 18:05,shipped,20260
O00000457,U008973,21/08/2025 05:52,returned,76070
O00000458,U002802,25/02/2025 01:24,returned,24900
O00000459,U009480,17/06/2025 08:42,processing,15400
O00000460,U009545,05/10/2024 23:41,completed,4320
O00000461,U000292,27/09/2024 08:51,returned,67440
O00000462,U006724,16/09/2024 06:38,cancelled,10500
O00000463,U000707,18/03/2024 11:50,cancelled,4680
O00000464,U004855,02/03/2025 05:52,completed,9270
O00000465,U001679,09/11/2025 03:00,processing,46000
O00000466,U001181,16/06/2025 06:30,completed,59890
O00000467,U001736,19/04/2025 09:04,completed,19350
O00000468,U004907,28/10/2024 22:45,completed,45670
O00000469,U008966,25/04/2024 16:37,cancelled,3267
O00000470,U004314,30/05/2024 00:07,completed,29660
O00000471,U001802,23/04/2024 00:00,processing,151500
O00000472,U008860,29/05/2024 19:22,returned,34650
O00000473,U009281,30/12/2024 02:49,cancelled,8370
O00000474,U005682,03/11/2024 19:22,cancelled,45850
O00000475,U005941,02/11/2024 05:18,completed,63560
O00000476,U004713,21/10/2025 14:04,returned,37890
O00000477,U000908,12/11/2025 05:41,shipped,6200
O00000478,U009741,07/02/2025 04:59,processing,90655
O00000479,U004486,01/03/2025 05:40,cancelled,7250
O00000480,U001941,08/02/2024 20:39,cancelled,39150
O00000481,U005427,21/12/2024 00:22,returned,10380
O00000482,U000952,15/02/2024 09:02,cancelled,101480
O00000483,U000410,10/04/2024 22:14,processing,8400
O00000484,U008464,05/09/2024 19:16,returned,70740
O00000485,U005342,12/08/2024 17:37,completed,9520
O00000486,U008797,15/08/2025 21:12,cancelled,26180
O00000487,U003145,07/11/2024 07:18,cancelled,52740
O00000488,U008604,24/01/2025 15:53,returned,3520
O00000489,U008490,11/10/2025 23:59,shipped,4750
O00000490,U006848,04/09/2024 18:04,cancelled,103020
O00000491,U006170,03/04/2025 09:15,shipped,95310
O00000492,U003775,15/02/2024 08:01,shipped,58610
O00000493,U007738,22/09/2024 13:16,completed,53370
O00000494,U009350,17/07/2024 21:37,cancelled,6650
O00000495,U009689,12/03/2025 22:39,cancelled,60000
O00000496,U008484,10/05/2025 12:33,completed,47880
O00000497,U009036,04/01/2025 03:15,cancelled,35320
O00000498,U001990,29/12/2024 03:17,returned,201360
O00000499,U003836,17/01/2024 14:33,cancelled,1500
O00000500,U006698,15/02/2025 05:51,returned,57280
O00000501,U003846,05/02/2024 14:06,cancelled,54350
O00000502,U009340,26/06/2025 18:26,cancelled,8970
O00000503,U007357,21/01/2024 20:11,processing,141680
O00000504,U007866,08/03/2025 15:09,shipped,24830
O00000505,U003344,29/04/2025 01:38,shipped,19380
O00000506,U008162,26/05/2025 15:53,completed,50300
O00000507,U001202,11/08/2024 02:48,shipped,35800
O00000508,U003933,05/05/2024 22:20,shipped,24450
O00000509,U007937,08/04/2024 14:09,shipped,65950
O00000510,U008319,05/03/2024 08:08,completed,11800
O00000511,U001525,27/02/2025 12:20,returned,43480
O00000512,U007371,04/09/2025 17:11,cancelled,21000
O00000513,U003081,12/05/2024 23:16,processing,10850
O00000514,U007574,16/01/2025 07:34,cancelled,19650
O00000515,U001884,08/03/2024 13:35,processing,10500
O00000516,U005054,08/01/2024 03:55,processing,4500
O00000517,U005325,25/04/2024 02:02,shipped,56500
O00000518,U007923,17/01/2024 14:09,shipped,61370
O00000519,U006930,23/08/2024 20:20,shipped,237590
O00000520,U008373,22/12/2024 22:34,shipped,77460
O00000521,U002116,20/12/2024 10:29,returned,51440
O00000522,U002980,22/06/2025 01:32,completed,127560
O00000523,U000754,24/05/2025 16:40,processing,52690
O00000524,U002490,05/06/2024 00:51,shipped,52389
